ef786082                                 mbedtls-reg2mem.bc                                                         
mbedtls_ssl_set_calc_verify_md: mbedtls_ssl_set_calc_verify_md <0
x509_info_key_usage: x509_info_key_usage <0
mbedtls_pk_get_name: mbedtls_pk_get_name emptyset
ssl_record_is_in_progress: ssl_record_is_in_progress emptyset
if_int: if_int emptyset
oid_ext_key_usage_from_asn1: oid_ext_key_usage_from_asn1 emptyset
x509_info_ext_key_usage: x509_info_ext_key_usage <0
mbedtls_ssl_setup: mbedtls_ssl_setup <0
oid_certificate_policies_from_asn1: oid_certificate_policies_from_asn1 emptyset
mbedtls_oid_get_certificate_policies: mbedtls_oid_get_certificate_policies <0
x509_info_cert_policies: x509_info_cert_policies <0
ssl_write_hello_verify_request: ssl_write_hello_verify_request <0
mbedtls_ssl_start_renegotiation: mbedtls_ssl_start_renegotiation <0
mbedtls_x509_crt_info: mbedtls_x509_crt_info <0
ssl_get_hs_total_len: ssl_get_hs_total_len emptyset
mbedtls_pk_debug: mbedtls_pk_debug <0
mbedtls_rsa_rsaes_oaep_encrypt: mbedtls_rsa_rsaes_oaep_encrypt <0
ssl_next_record_is_in_datagram: ssl_next_record_is_in_datagram emptyset
mbedtls_ssl_check_sig_hash: mbedtls_ssl_check_sig_hash emptyset
mbedtls_ssl_resend: mbedtls_ssl_resend <0
mbedtls_ssl_dtls_replay_check: mbedtls_ssl_dtls_replay_check emptyset
mbedtls_ssl_fetch_input: mbedtls_ssl_fetch_input <0
ssl_parse_record_header: ssl_parse_record_header <0
mbedtls_md_process: mbedtls_md_process <0
psa_hmac_setup_internal: psa_hmac_setup_internal <0
mbedtls_x509write_crt_set_key_usage: mbedtls_x509write_crt_set_key_usage <0
mbedtls_ssl_decrypt_buf: mbedtls_ssl_decrypt_buf <0
rnd_std_rand: rnd_std_rand emptyset
ssl_prepare_record_content: ssl_prepare_record_content <0
ssl_hs_is_proper_fragment: ssl_hs_is_proper_fragment emptyset
mbedtls_ssl_prepare_handshake_record: mbedtls_ssl_prepare_handshake_record <0
mbedtls_ssl_handle_message_type: mbedtls_ssl_handle_message_type <0
ssl_get_reassembly_buffer_size: ssl_get_reassembly_buffer_size emptyset
psa_key_derivation_tls12_prf_read: psa_key_derivation_tls12_prf_read <0
rsa_decrypt_wrap: rsa_decrypt_wrap <0
mbedtls_ecp_curve_info_from_name: mbedtls_ecp_curve_info_from_name emptyset
psa_rsa_sign: psa_rsa_sign <0
ssl_buffer_message: ssl_buffer_message <0
mbedtls_asn1_write_utf8_string: mbedtls_asn1_write_utf8_string <0
mbedtls_ecdsa_from_keypair: mbedtls_ecdsa_from_keypair <0
mbedtls_ssl_read_record: mbedtls_ssl_read_record <0
mbedtls_ssl_hs_hdr_len: mbedtls_ssl_hs_hdr_len emptyset
ssl_check_peer_crt_unchanged: ssl_check_peer_crt_unchanged emptyset
x509_write_time: x509_write_time <0
x509_memcasecmp: x509_memcasecmp emptyset
x509_profile_check_pk_alg: x509_profile_check_pk_alg emptyset
mbedtls_platform_gmtime_r: mbedtls_platform_gmtime_r '==0
x509_check_time: x509_check_time emptyset
fclose: fclose <0
mbedtls_x509_time_is_past: mbedtls_x509_time_is_past >0
x509_string_cmp: x509_string_cmp emptyset
x509_name_cmp: x509_name_cmp emptyset
mbedtls_gcm_setkey: mbedtls_gcm_setkey <0
mbedtls_ssl_context_load: mbedtls_ssl_context_load <0
mbedtls_pk_get_len: mbedtls_pk_get_len emptyset
pk_hashlen_helper: pk_hashlen_helper emptyset
ssl_parse_server_ecdh_params: ssl_parse_server_ecdh_params <0
mbedtls_pk_verify_restartable: mbedtls_pk_verify_restartable <0
psa_cipher_generate_iv: psa_cipher_generate_iv <0
mbedtls_ecp_tls_write_group: mbedtls_ecp_tls_write_group emptyset
mbedtls_timing_hardclock: mbedtls_timing_hardclock emptyset
fdopen: fdopen '==0
rsa_alt_alloc_wrap: rsa_alt_alloc_wrap '==0
mbedtls_pk_verify: mbedtls_pk_verify <0
psa_remove_key_data_from_memory: psa_remove_key_data_from_memory <0
mbedtls_x509_crt_is_revoked: mbedtls_x509_crt_is_revoked >0
mbedtls_ecp_set_zero: mbedtls_ecp_set_zero <0
mbedtls_chacha20_setkey: mbedtls_chacha20_setkey emptyset
mbedtls_ssl_get_version: mbedtls_ssl_get_version emptyset
x509_crt_verify_chain: x509_crt_verify_chain <0
x509_crt_merge_flags_with_cb: x509_crt_merge_flags_with_cb <0
mbedtls_rsa_rsaes_pkcs1_v15_decrypt: mbedtls_rsa_rsaes_pkcs1_v15_decrypt <0
pk_write_ec_pubkey: pk_write_ec_pubkey <0
x509_crt_verify_restartable_ca_cb: x509_crt_verify_restartable_ca_cb <0
mbedtls_ssl_check_curve: mbedtls_ssl_check_curve emptyset
mbedtls_x509write_crt_set_serial: mbedtls_x509write_crt_set_serial <0
mbedtls_x509_crt_check_extended_key_usage: mbedtls_x509_crt_check_extended_key_usage <0
mbedtls_ecp_point_read_binary: mbedtls_ecp_point_read_binary <0
pk_write_ec_private: pk_write_ec_private <0
mbedtls_ssl_check_cert_usage: mbedtls_ssl_check_cert_usage <0
mbedtls_ssl_ciphersuite_uses_ecdhe: mbedtls_ssl_ciphersuite_uses_ecdhe emptyset
ssl_parse_certificate_verify: ssl_parse_certificate_verify <0
mbedtls_ssl_parse_certificate: mbedtls_ssl_parse_certificate <0
mbedtls_ssl_write_finished: mbedtls_ssl_write_finished <0
mbedtls_ssl_session_reset: mbedtls_ssl_session_reset <0
psa_hkdf_input: psa_hkdf_input <0
mbedtls_ssl_parse_finished: mbedtls_ssl_parse_finished <0
ssl_session_load: ssl_session_load <0
mbedtls_ssl_set_session: mbedtls_ssl_set_session <0
mbedtls_ssl_set_hs_own_cert: mbedtls_ssl_set_hs_own_cert <0
ssl_conf_set_psk_identity: ssl_conf_set_psk_identity <0
ssl_conf_has_psk_or_cb: ssl_conf_has_psk_or_cb emptyset
ecdh_setup_internal: ecdh_setup_internal <0
mbedtls_ssl_conf_dh_param: mbedtls_ssl_conf_dh_param <0
mbedtls_ssl_in_hdr_len: mbedtls_ssl_in_hdr_len emptyset
mbedtls_ssl_conf_dh_param_bin: mbedtls_ssl_conf_dh_param_bin <0
fread: fread <0
mbedtls_chachapoly_setkey: mbedtls_chachapoly_setkey emptyset
mbedtls_ssl_conf_alpn_protocols: mbedtls_ssl_conf_alpn_protocols <0
mbedtls_ssl_conf_max_frag_len: mbedtls_ssl_conf_max_frag_len <0
mbedtls_ssl_get_ciphersuite: mbedtls_ssl_get_ciphersuite emptyset
mbedtls_internal_sha512_process: mbedtls_internal_sha512_process emptyset
mbedtls_ssl_get_session: mbedtls_ssl_get_session <0
mbedtls_ssl_get_session_pointer: mbedtls_ssl_get_session_pointer emptyset
mbedtls_ssl_session_load: mbedtls_ssl_session_load <0
ssl_generate_random: ssl_generate_random <0
ssl_conf_has_static_psk: ssl_conf_has_static_psk emptyset
mbedtls_dhm_read_params: mbedtls_dhm_read_params <0
tls1_prf: tls1_prf <0
ssl_write_server_hello_done: ssl_write_server_hello_done <0
ssl_parse_renegotiation_info: ssl_parse_renegotiation_info <0
ssl_validate_ciphersuite: ssl_validate_ciphersuite emptyset
ssl_parse_encrypt_then_mac_ext: ssl_parse_encrypt_then_mac_ext <0
ssl_check_ctr_renegotiate: ssl_check_ctr_renegotiate <0
ssl_get_ecdh_params_from_cert: ssl_get_ecdh_params_from_cert <0
ssl_parse_server_psk_hint: ssl_parse_server_psk_hint <0
mbedtls_ecp_tls_read_group_id: mbedtls_ecp_tls_read_group_id emptyset
tls_prf_sha384: tls_prf_sha384 <0
rnd_buffer_rand: rnd_buffer_rand emptyset
mbedtls_net_connect: mbedtls_net_connect <0
ecdh_read_params_internal: ecdh_read_params_internal <0
mbedtls_ecdh_read_params: mbedtls_ecdh_read_params <0
mbedtls_ssl_ciphersuite_uses_server_signature: mbedtls_ssl_ciphersuite_uses_server_signature emptyset
ssl_parse_signature_algorithm: ssl_parse_signature_algorithm <0
mbedtls_ssl_config_defaults: mbedtls_ssl_config_defaults <0
mbedtls_sha512_self_test: mbedtls_sha512_self_test >0
ssl_parse_server_key_exchange: ssl_parse_server_key_exchange <0
ssl_parse_certificate_request: ssl_parse_certificate_request <0
ssl_parse_server_hello_done: ssl_parse_server_hello_done <0
mbedtls_ecp_tls_read_point: mbedtls_ecp_tls_read_point <0
mbedtls_dhm_make_public: mbedtls_dhm_make_public <0
ssl_write_client_hello: ssl_write_client_hello <0
ecdh_gen_public_restartable: ecdh_gen_public_restartable <0
mbedtls_ecdh_gen_public: mbedtls_ecdh_gen_public <0
mbedtls_x509_crt_check_key_usage: mbedtls_x509_crt_check_key_usage <0
mbedtls_ecp_tls_write_point: mbedtls_ecp_tls_write_point <0
mbedtls_ecdh_make_public: mbedtls_ecdh_make_public <0
mbedtls_version_check_feature: mbedtls_version_check_feature <0
ssl_write_encrypted_pms: ssl_write_encrypted_pms <0
mbedtls_rsa_rsassa_pkcs1_v15_verify: mbedtls_rsa_rsassa_pkcs1_v15_verify <0
mbedtls_ssl_sig_from_pk: mbedtls_ssl_sig_from_pk emptyset
mbedtls_pk_sign_restartable: mbedtls_pk_sign_restartable <0
ssl_write_certificate_verify: ssl_write_certificate_verify <0
mbedtls_asn1_get_enum: mbedtls_asn1_get_enum <0
mbedtls_ssl_handshake_client_step: mbedtls_ssl_handshake_client_step <0
ssl_parse_signature_algorithms_ext: ssl_parse_signature_algorithms_ext <0
x509_csr_get_version: x509_csr_get_version '==0
ssl_parse_supported_elliptic_curves: ssl_parse_supported_elliptic_curves <0
oid_x509_ext_from_asn1: oid_x509_ext_from_asn1 emptyset
mbedtls_ssl_get_ciphersuite_sig_alg: mbedtls_ssl_get_ciphersuite_sig_alg emptyset
mbedtls_ssl_sig_hash_set_find: mbedtls_ssl_sig_hash_set_find emptyset
mbedtls_md_hmac: mbedtls_md_hmac <0
mbedtls_ssl_cache_get: mbedtls_ssl_cache_get >0
mbedtls_net_set_block: mbedtls_net_set_block <0
ssl_write_server_hello: ssl_write_server_hello <0
x509_get_crt_ext: x509_get_crt_ext <0
mbedtls_ssl_ciphersuite_uses_ecdh: mbedtls_ssl_ciphersuite_uses_ecdh emptyset
mpi_check_small_factors: mpi_check_small_factors <0
mbedtls_dhm_set_group: mbedtls_dhm_set_group '==0
mbedtls_dhm_make_params: mbedtls_dhm_make_params <0
mbedtls_oid_get_oid_by_sig_alg: mbedtls_oid_get_oid_by_sig_alg <0
mbedtls_chachapoly_self_test: mbedtls_chachapoly_self_test <0
ecdh_make_params_internal: ecdh_make_params_internal <0
x509_get_version: x509_get_version '==0
ssl_parse_client_dh_public: ssl_parse_client_dh_public <0
mbedtls_pk_decrypt: mbedtls_pk_decrypt <0
ssl_write_new_session_ticket: ssl_write_new_session_ticket <0
mbedtls_ssl_context_save: mbedtls_ssl_context_save <0
mbedtls_ssl_list_ciphersuites: mbedtls_ssl_list_ciphersuites emptyset
mbedtls_ecdh_compute_shared: mbedtls_ecdh_compute_shared <0
mbedtls_ssl_send_fatal_handshake_failure: mbedtls_ssl_send_fatal_handshake_failure <0
ssl_write_split: ssl_write_split <0
mbedtls_ssl_write: mbedtls_ssl_write <0
mbedtls_ssl_close_notify: mbedtls_ssl_close_notify <0
mbedtls_mpi_div_int: mbedtls_mpi_div_int <0
mbedtls_x509_crt_parse_der_nocopy: mbedtls_x509_crt_parse_der_nocopy <0
mbedtls_md: mbedtls_md <0
mbedtls_x509_crt_parse: mbedtls_x509_crt_parse <0
mbedtls_x509write_csr_set_extension: mbedtls_x509write_csr_set_extension <0
ecdsa_sign_restartable: ecdsa_sign_restartable <0
mbedtls_pk_load_file: mbedtls_pk_load_file <0
mbedtls_x509_crt_parse_path: mbedtls_x509_crt_parse_path <0
mbedtls_x509_crt_verify: mbedtls_x509_crt_verify <0
asn1_get_nonzero_mpi: asn1_get_nonzero_mpi <0
mbedtls_ecp_muladd: mbedtls_ecp_muladd <0
mbedtls_chachapoly_finish: mbedtls_chachapoly_finish <0
mbedtls_rsa_export_raw: mbedtls_rsa_export_raw <0
mbedtls_rsa_copy: mbedtls_rsa_copy <0
myrand: myrand emptyset
mbedtls_pk_parse_public_keyfile: mbedtls_pk_parse_public_keyfile <0
mbedtls_cipher_list: mbedtls_cipher_list emptyset
mbedtls_cipher_info_from_string: mbedtls_cipher_info_from_string emptyset
mbedtls_constant_time_memcmp: mbedtls_constant_time_memcmp emptyset
mbedtls_pk_parse_keyfile: mbedtls_pk_parse_keyfile <0
gcm_camellia_setkey_wrap: gcm_camellia_setkey_wrap <0
mbedtls_cipher_check_tag: mbedtls_cipher_check_tag <0
ssl_check_server_ecdh_params: ssl_check_server_ecdh_params <0
mbedtls_des_key_check_weak: mbedtls_des_key_check_weak emptyset
mbedtls_des_self_test: mbedtls_des_self_test '==0
mbedtls_rsa_pkcs1_encrypt: mbedtls_rsa_pkcs1_encrypt <0
mbedtls_sha256_self_test: mbedtls_sha256_self_test >0
mbedtls_oid_get_ec_grp: mbedtls_oid_get_ec_grp <0
mbedtls_ecdsa_sign_det: mbedtls_ecdsa_sign_det <0
mbedtls_mpi_write_binary: mbedtls_mpi_write_binary <0
mbedtls_ecdsa_write_signature_det: mbedtls_ecdsa_write_signature_det <0
mbedtls_ssl_ciphersuite_from_string: mbedtls_ssl_ciphersuite_from_string emptyset
exercise_cipher_setup: exercise_cipher_setup '==0
mbedtls_md_file: mbedtls_md_file <0
mbedtls_asn1_get_tag: mbedtls_asn1_get_tag <0
mbedtls_gcm_crypt_and_tag: mbedtls_gcm_crypt_and_tag <0
x509_crl_get_version: x509_crl_get_version '==0
asn1_skip_integer: asn1_skip_integer '==0
x509_get_crl_entry_ext: x509_get_crl_entry_ext '==0
mbedtls_x509_crl_parse_file: mbedtls_x509_crl_parse_file <0
rsa_sign_wrap: rsa_sign_wrap <0
ssl_set_handshake_prfs: ssl_set_handshake_prfs <0
mbedtls_ctr_drbg_set_nonce_len: mbedtls_ctr_drbg_set_nonce_len emptyset
x509_attr_descr_from_name: x509_attr_descr_from_name emptyset
mbedtls_asn1_store_named_data: mbedtls_asn1_store_named_data '==0
psa_get_hash_block_size: psa_get_hash_block_size emptyset
mbedtls_x509write_crt_set_validity: mbedtls_x509write_crt_set_validity <0
psa_generate_random: psa_generate_random <0
mbedtls_x509write_crt_set_ns_cert_type: mbedtls_x509write_crt_set_ns_cert_type <0
mbedtls_poly1305_update: mbedtls_poly1305_update emptyset
mbedtls_pk_can_do: mbedtls_pk_can_do emptyset
x509_write_extension: x509_write_extension <0
mbedtls_asn1_write_algorithm_identifier: mbedtls_asn1_write_algorithm_identifier <0
mbedtls_asn1_write_tagged_string: mbedtls_asn1_write_tagged_string <0
psa_tls12_prf_set_seed: psa_tls12_prf_set_seed <0
mbedtls_x509_write_sig: mbedtls_x509_write_sig <0
mbedtls_pem_write_buffer: mbedtls_pem_write_buffer <0
load_file: load_file <0
mbedtls_dhm_parse_dhmfile: mbedtls_dhm_parse_dhmfile <=0
mbedtls_ssl_ciphersuite_uses_ec: mbedtls_ssl_ciphersuite_uses_ec emptyset
mbedtls_dhm_self_test: mbedtls_dhm_self_test >0
mbedtls_ccm_self_test: mbedtls_ccm_self_test >0
mbedtls_hmac_drbg_seed: mbedtls_hmac_drbg_seed <0
psa_tls12_prf_psk_to_ms_set_key: psa_tls12_prf_psk_to_ms_set_key <0
gcm_gen_table: gcm_gen_table <0
mbedtls_asn1_get_alg: mbedtls_asn1_get_alg <0
mbedtls_oid_get_x509_ext_type: mbedtls_oid_get_x509_ext_type <0
mbedtls_hmac_drbg_write_seed_file: mbedtls_hmac_drbg_write_seed_file <0
mbedtls_hmac_drbg_update_seed_file: mbedtls_hmac_drbg_update_seed_file <0
mbedtls_asn1_write_ia5_string: mbedtls_asn1_write_ia5_string <0
net_would_block: net_would_block emptyset
